"scenario_id","estimator","formula_id","n_replicates","n_converged","bias","mse","power","mean_estimate","mean_se","allocation","K","n","covariate_distribution"
"main_3to1_K10_n040_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",10,40,"normal"
"main_3to1_K10_n040_normal","target_only","correct",1,1,0.494713964620453,0.244741906790487,1,2.49471396462045,0.376168707800355,"3to1",10,40,"normal"
"main_3to1_K10_n040_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",10,40,"normal"
"main_3to1_K10_n040_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",10,40,"normal"
"main_4to0_K10_n040_normal","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",10,40,"normal"
"main_4to0_K10_n040_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",10,40,"normal"
"main_4to0_K10_n040_normal","meta_regression","misspecified",1,1,0.548099404400873,0.300412957104592,1,2.54809940440087,0.496985693647567,"4to0",10,40,"normal"
"main_4to0_K10_n040_normal","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",10,40,"normal"
"main_4to0_K10_n040_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",10,40,"normal"
"main_4to0_K10_n040_normal","meta_regression","correct",1,1,-0.125226639082945,0.0156817111360102,1,1.87477336091705,0.625318335017302,"4to0",10,40,"normal"
"main_1to1_K30_n040_normal","target_only","misspecified",1,1,-0.39727537563611,0.157827724086812,1,1.60272462436389,0.504095473593235,"1to1",30,40,"normal"
"main_1to1_K30_n040_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",30,40,"normal"
"main_1to1_K30_n040_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",30,40,"normal"
"main_1to1_K30_n040_normal","target_only","correct",1,1,-0.0611452751249937,0.00373874467011117,1,1.93885472487501,0.397974194850001,"1to1",30,40,"normal"
"main_1to1_K30_n040_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",30,40,"normal"
"main_1to1_K30_n040_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",30,40,"normal"
