"scenario_id","replicate","estimator","formula_id","estimate","se","ci_low","ci_high","converged","diagnostics"
"main_1to1_K05_n040_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K05_n040_normal",1,"target_only","misspecified",1.9993782736322,0.540267908772307,0.905663072164618,3.09309347509978,TRUE,""
"main_3to1_K05_n040_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K05_n040_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K05_n040_normal",1,"target_only","correct",2.0343490563516,0.494814286086712,1.03081917113971,3.03787894156348,TRUE,""
"main_3to1_K05_n040_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K05_n040_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K05_n040_normal",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K05_n040_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K05_n040_normal",1,"meta_regression","misspecified",2.59400634032413,0.807262436327328,1.0118010390505,4.17621164159775,TRUE,""
"main_4to0_K05_n040_normal",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K05_n040_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K05_n040_normal",1,"meta_regression","correct",2.02643182149795,0.673333168969565,0.70672306072138,3.34614058227452,TRUE,""
"main_1to1_K10_n040_normal",1,"target_only","misspecified",2.64290743291175,0.396465167595837,1.84030566143636,3.44550920438714,TRUE,""
"main_1to1_K10_n040_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K10_n040_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K10_n040_normal",1,"target_only","correct",2.79666665598962,0.322601860096922,2.14239975882192,3.45093355315732,TRUE,""
"main_1to1_K10_n040_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K10_n040_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K10_n040_normal",1,"target_only","misspecified",2.3813572135623,0.426522852427434,1.51790684033311,3.24480758679148,TRUE,""
"main_3to1_K10_n040_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K10_n040_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
